Iesniegts;Grupa;Tips;Veids;Problēma;Departaments;Apstrādē;Status
"﻿""2018-04-28 19:38:25""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu namu aprīkojums;Cits aprīkojums;Cēsu jaunajā stadionā ir pārāk maz ieejas,piemēram, lai aizietu uz veikalu un nopirkt ko padzerties, jāiet apkārt, vajag vairak ieejas.;Cēsu novada Komunālā nodaļa;114h 43m 45s;Izpildītie
"﻿""2018-04-28 20:44:41""";Vide;Nesakopta teritorija;Nesakopts īpašums;Sakarā ar atļauju dedzināt pērnās lapas un bezvēja apstākļiem - veselībai bīstami liela lapu izdalīto dūmu, kaitīgo vielu koncentrācija. ;Cēsu novada Pašvaldības policija;838h 59m 59s;Ilgtermiņa
"﻿""2018-04-29 12:42:04""";Ielas un ceļi;Ceļa segums;Bedres;Interesants arhitektūriskais risinājums vienai un tai pašai ielai. ;Cēsu novada Komunālā nodaļa;67h 47m 36s;Noraidītie
"﻿""2018-04-29 20:46:26""";Auto novietošana;Pamests transports;;Stāv auto mercedes-benz jau vairāk kā gadu! Aizņem vietu!;Cēsu novada Pašvaldības policija;66h 48m 44s;Izpildītie
"﻿""2018-04-29 21:21:10""";Sabiedriskā kārtība;Atkritumi;Izveidota nelegāla izgāztuve;atkritumi ;Cēsu novada Pašvaldības policija;63h 51m 27s;Izpildītie
"﻿""2018-05-01 14:26:19""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu ēku apgaismojums;Kāpņu telpu apgaismojums;FB atrasts ziņojums.;Cēsu novada Komunālā nodaļa;48h 01m 35s;Izpildītie
"﻿""2018-05-02 10:28:30""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu ēku apgaismojums;Daudzdzīvokļu namu ārtelpu apgaismojums;Ja noraidīts, tad es saprotu, ka Jūs neievērojāt, ka tiek izmantoti divi dažādi materiāli vienam un tam pašam bruģa klājumam?;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-05-02 13:09:21""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Izveidota nelegāla izgāztuve;skats ejot pa Miera ielu. Bija skaists, zaļš grāvītis, tagad viss izcirsts, arī derīgie koki, un tiek atvesti un izgāzti atkritumi, ķieģeļi.;Cēsu novada Komunālā nodaļa;24h 29m 14s;Izpildītie
"﻿""2018-05-03 17:25:35""";Apgaismojums;Daudzdzīvokļu ēku pagalmu apgaismojums;Atvērts komunikāciju lūkas vāks;Lūgums ieslēgt dzeramo strūklaku Pils parkā ;Cēsu novada Komunālā nodaļa;95h 40m 22s;Izpildītie
"﻿""2018-05-04 11:07:18""";Ielas un ceļi;Ceļa segums;Bedres;Vaives iela, gar nr. 4 un jauno bērnudārzu! Šeit braukā bērnu vecāki un noslogo ceļu un māju iedzīvotājiem jāsamierinās!;Cēsu novada Komunālā nodaļa;77h 34m 49s;Izpildītie
"﻿""2018-05-04 11:09:49""";Ielas un ceļi;Ceļa segums;Bedres;Sabrucis ceļa segums! Šeit braukā gan māju iedzīvotāji, gan bērnudārza bērnu vecāki!;Cēsu novada Komunālā nodaļa;77h 54m 14s;Izpildītie
"﻿""2018-05-04 14:32:53""";Ielas un ceļi;Ceļa segums;Bedres;Bedre virzienā uz poliklīniku;Cēsu novada Komunālā nodaļa;73h 59m 22s;Izpildītie
"﻿""2018-05-04 17:18:21""";Ielas un ceļi;Ceļa segums;Bedres;Tieši pretīm iebrauktuvei vecajā slēpošanas trasē. ;Cēsu novada Komunālā nodaļa;71h 11m 27s;Izpildītie
"﻿""2018-05-04 18:15:27""";Ielas un ceļi;Ceļa segums;Bedres;Pilnībā sabrucis ceļš! Lieto gan māju iedzīvotāji, gan bērnudārza audzēkņu vecāki! Pirms laika veikto komunikāciju remonta sekas!;Cēsu novada Komunālā nodaļa;141h 13m 07s;Izpildītie
"﻿""2018-05-05 14:23:35""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Zīmes uzstādītas uz nepareizo pusi- sanāk, ka jābrauc caur bedri un pa ietvi!;Cēsu novada Komunālā nodaļa;50h 03m 10s;Izpildītie
"﻿""2018-05-05 16:43:46""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Pie velotrases acīmredzami iereibis vīrietis ar atvērtu alus pudeli.;Cēsu novada Pašvaldības policija;40h 18m 39s;Izpildītie
"﻿""2018-05-08 09:33:16""";Sabiedriskā kārtība;Dzīvnieki;;Pie slimnīcas klīst liels suns ar kakla siksnińu,izskatās nevesels.iespējams jānogādā uz patversmi un jāapskata vetārstam ;Cēsu novada Pašvaldības policija;00h 05m 48s;Izpildītie
"﻿""2018-05-08 13:35:19""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;cilvēks guļ uz trepēm pie Feniks stacijā ;Cēsu novada Pašvaldības policija;00h 05m 14s;Izpildītie
"﻿""2018-05-08 13:46:10""";Auto novietošana;Neatļauta novietošana;;Šis auto, konkrētajā vietā tiek novietots ik pa laikam, kā arī zināms, ka ar auto jau kādu laiku  pārvietojas Latvijas pilsonis! ;Cēsu novada Pašvaldības policija;01h 26m 49s;Izpildītie
"﻿""2018-05-09 08:19:04""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;Akmens ielas un Festivāla ielas krustojums. Vismaz reizi mēnesī avārija. Ja Akmens ir galvenā iela, tad uz Festivāla vajag STOP zīmes. Jo vi;Cēsu novada Komunālā nodaļa;31h 03m 01s;Izpildītie
"﻿""2018-05-09 09:04:42""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Labriit! Vai nav aizmirsies aizvest talkas dienas atkritumu maisus?;Cēsu novada Komunālā nodaļa;31h 22m 30s;Izpildītie
"﻿""2018-05-10 15:49:00""";Auto novietošana;Pamests transports;;Jau trešo vai ceturto dienu dīvainā vietā novietots Renault Megane uz Vaives ielas pie Priekułu ceła, iespējams pamests.;Cēsu novada Pašvaldības policija;05h 02m 28s;Izpildītie
"﻿""2018-05-11 06:44:33""";Apgaismojums;Parka apgaismojums;Atvērtas staba komunikāciju durvis;Joprojām ieslēgts kaut arī ārā jau rīts.;Cēsu novada Komunālā nodaļa;126h 31m 49s;Izpildītie
"﻿""2018-05-11 15:50:23""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrītas smiltis no braucamās daļas;Lasu avizē, ka pilsētas ielu uzkopšana ir pabeigta, taču Pūces ielā pagaidām neviens tīrītājs nav bijis. ;Cēsu novada Komunālā nodaļa;97h 10m 07s;Izpildītie
"﻿""2018-05-11 21:09:22""";Ielas un ceļi;Ceļa aprīkojums;Nedarbojas luksofors;Pilnīgs absurds tas luksofors mirgošana režīmā.Nav iespējams sagaidīt griezties pa kreisi gan no Palasta ielas,gan no Maximas rītos/vakaros!;Cēsu novada Komunālā nodaļa;60h 25m 03s;Izpildītie
"﻿""2018-05-12 06:46:45""";Ielas un ceļi;Ceļa segums;Smilšu vanna;kad tiks apstrādāta iela ar pretputekļu līdzekli vai ierobežota satiksme uz puķu ielas.;Cēsu novada Komunālā nodaļa;50h 41m 02s;Izpildītie
"﻿""2018-05-14 08:22:11""";Auto novietošana;Neatļauta novietošana;;Mašīna novietota neatłautā vietā, pie dzeltenās līnijas.;Cēsu novada Pašvaldības policija;02h 53m 29s;Izpildītie
"﻿""2018-05-15 08:16:03""";Ielas un ceļi;Ceļa aprīkojums;Nedarbojas luksofors;Labdien! Nedarbojas luksofori Lenču, Festivāla, Palasta ielu krustojumā. Jauku dienu ! Cieñā xxxxx;Cēsu novada Komunālā nodaļa;08h 42m 36s;Izpildītie
"﻿""2018-05-16 16:09:28""";Sabiedriskā kārtība;Satiksmes noteikumu neievērošana;Agresīva braukšana (trokšņošana);Ezera un Oktobra ielas- a/m brauc lielā ātrumā, kur ir uzliktas dzīv.zonas zīmes. Kā ar tranzītā brauc cauri Kom-auto u.c.kravas transports.;Cēsu novada Pašvaldības policija;00h 37m 33s;Izpildītie
"﻿""2018-05-17 07:11:08""";Vide;Koki un apstādījumi;Nolūzis vai bīstams koks;Glūdas ielas zaru tunelis!Vai ir iespeja likvidet?;Cēsu novada Pašvaldības policija;103h 41m 39s;Izpildītie
"﻿""2018-05-17 11:49:19""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrītas smiltis no braucamās daļas;Pateicība!!! Paldies par pilsētas grants ceļu laistīšanu! Beidzot. Arī turpmāk lūdzu tā risināt putekļu problēmu. ;Cēsu novada Komunālā nodaļa;05h 14m 24s;Izpildītie
"﻿""2018-05-18 15:22:02""";Ielas un ceļi;Ceļa segums;Bedres;Noplūdusi iela, pazudusi mašīnas numurzīme xx-xxxx;Cēsu novada Komunālā nodaļa;97h 00m 06s;Izpildītie
"﻿""2018-05-18 16:04:54""";Ielas un ceļi;Ceļa segums;Smilšu vanna;Lietusgāžu rezultātā Ezera ielā izskalojumi un sanesumi.;Cēsu novada Komunālā nodaļa;96h 19m 30s;Izpildītie
"﻿""2018-05-18 18:58:12""";Ielas un ceļi;Ceļa segums;Bedres;Lietus postījumus ;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-05-19 06:59:12""";Ielas un ceļi;Ceļa segums;Rises braucamajā daļā;Pēc lietus atkal izskalota garantētā Mednieku ielas daļa... Bet PALDIES par nokaisīto Palejas ielu! Vai Mednieku ielu arī kaisīs? Vajadzētu.;Cēsu novada Komunālā nodaļa;59h 03m 19s;Izpildītie
"﻿""2018-05-19 10:38:58""";Vide;Nesakopta teritorija;Nesavākti atkritumi;Vai Rīgas ielas 7 namam nav sētnieka?;Cēsu novada Pašvaldības policija;454h 25m 38s;Izpildītie
"﻿""2018-05-19 12:00:25""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;Gaujas iela 2 un 4, Cēsis. Izskalots trotuārs.;Cēsu novada Komunālā nodaļa;119h 12m 22s;Izpildītie
"﻿""2018-05-19 12:30:06""";Ielas un ceļi;Ceļa segums;Rises braucamajā daļā;Palejas, Kungu ielas pēc vakardienas lietus visas izskalotas, bet šorīt bez greiderēšanas apstrādā ar ķīmiju. Viss ačgārni un būs atkal pute;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-05-19 15:24:04""";Ielas un ceļi;Sezonālā uzkopšana;Lapas uz braucamās daļas;Lietusūdens noteka pie Globuss veikala apļa;Cēsu novada Komunālā nodaļa;50h 23m 15s;Izpildītie
"﻿""2018-05-19 19:54:34""";Ielas un ceļi;Ceļa segums;Bedres;Izskalots ceļš pie Gaujas;Cēsu novada Komunālā nodaļa;255h 37m 39s;Izpildītie
"﻿""2018-05-19 23:38:42""";Auto novietošana;Neatļauta novietošana;;Rīgas iela pie Priedes uz ietves nu un vispār nez vai tur var parkoties.;Cēsu novada Pašvaldības policija;00h 36m 47s;Izpildītie
"﻿""2018-05-20 11:45:03""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Labdien! Bīstams puskaltis osis,  kuram nolūza pamatīgs zars. Krītot uz ielas aizķēra blakus elektrības līniju. Nepieciešams apsekot.;Cēsu novada Komunālā nodaļa;46h 06m 03s;Izpildītie
"﻿""2018-05-21 00:39:35""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Otro nakti nestrādā ielas apgaismojums;Cēsu novada Komunālā nodaļa;58h 30m 49s;Izpildītie
"﻿""2018-05-21 08:19:32""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Pārpildīta miskaste ;Cēsu novada Komunālā nodaļa;09h 22m 35s;Noraidītie
"﻿""2018-05-21 19:00:55""";Ielas un ceļi;Ceļa nomale;Bojāta apmale;Zālāja pretim pieturai izveidojusies bistama bedre. ;Cēsu novada Komunālā nodaļa;21h 37m 07s;Izpildītie
"﻿""2018-05-21 20:13:23""";Ielas un ceļi;Ceļa segums;Bedres;Nogruvums uz celiņa Avotu ielejā ;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-05-22 11:48:45""";Auto novietošana;Pamests transports;;Vairāk ka pusgadu stāv nekustināta mašīna viesturkalna slimnīcas stāvlaukuma aizņem stāvvietu ;Cēsu novada Pašvaldības policija;481h 10m 31s;Izpildītie
"﻿""2018-05-22 12:51:18""";Sabiedriskā kārtība;Dzīvnieki;;redzets suns Lapsu iela 3 (mego), balts suns ar isam kajam (ar kaklassiksnu);Cēsu novada Pašvaldības policija;01h 52m 39s;Izpildītie
"﻿""2018-05-22 14:40:31""";Ielas un ceļi;Ceļa segums;Uz braucamās daļas svešķermeņi;Norauta apmale, tà atradìsies Mùzikas skolà pie dežuranta.;Cēsu novada Komunālā nodaļa;44h 02m 04s;Izpildītie
"﻿""2018-05-23 01:31:58""";Sabiedriskā kārtība;Cilvēki;Trokšņo;Skaļa mūzika Glūdas gravas viesnīcas pagalmā ;Cēsu novada Pašvaldības policija;05h 26m 58s;Izpildītie
"﻿""2018-05-23 09:06:05""";Ielas un ceļi;Ceļa segums;Bedres;Akmens 2 pagalms. Pagājušajā gadā tika iztīrīta graviņa. Šogad talkas laikā tika solīts zaru kaudzes sašķeldot un aizvākt. Cik ilgi vēl šis ;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-05-23 12:59:24""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;Labdien. Vai ir iespējams uzstādīt ceļazīmi, kas norādītu ka ir t- veida krustojums un ir straujš pagrieziens? It sevišķi ziemā- bīstams…;Cēsu novada Komunālā nodaļa;45h 41m 40s;Izpildītie
"﻿""2018-05-23 13:02:14""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;pievienoju foto. ;Cēsu novada Komunālā nodaļa;123h 55m 56s;Izpildītie
"﻿""2018-05-23 16:18:42""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrītas smiltis no braucamās daļas;Uz ceļa jau ilgi stāv smilšu kalni, nekas netiek darīts lietas labā!!!;Cēsu novada Komunālā nodaļa;24h 41m 42s;Izpildītie
"﻿""2018-05-23 19:10:29""";Ielas un ceļi;Ceļa nomale;Nolūzis koks (bīstams koks);ceļa posmā saulrīti - krīvi uz vadiem uzkritis koks.;Cēsu novada Komunālā nodaļa;15h 35m 53s;Izpildītie
"﻿""2018-05-24 06:26:04""";Auto novietošana;Pamests transports;;Jau nedēļu pamests;Cēsu novada Pašvaldības policija;838h 59m 59s;Izpildītie
"﻿""2018-05-24 07:22:20""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;Piebalgas iela,preti Piebalgas iela 1a!Aleja uz trotuara!;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-05-24 10:01:36""";Apgaismojums;Parka apgaismojums;Bojāts apgaismes stabs;parkā atkritumu kastei trūkst iekšējā metāla kaste, kā arī viens dēlīts.;Cēsu novada Komunālā nodaļa;01h 13m 54s;Izpildītie
"﻿""2018-05-25 08:43:14""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu ēku apgaismojums;;Jau 2 dienu, Vecpilsetas centra pie Rīgas iela 7 nama, mētājas atkritumi.;Cēsu novada Komunālā nodaļa;03h 46m 27s;Izpildītie
"﻿""2018-05-25 21:05:20""";Ielas un ceļi;Ceļa segums;Bedres;Ielūzis ielas segums pretī l paegles 2a;Cēsu novada Komunālā nodaļa;66h 55m 13s;Izpildītie
"﻿""2018-05-29 21:45:52""";Ielas un ceļi;Ceļa segums;Nav greiderēts;"Labvakar. Pilnīgs &quot;veļas dēlis&quot;. Kāpēc savlaicīgi negreiderē? Ja arguments, ka pārkaltis, tad vajag laistīt- nebūs putekļu un greiderēt. ";Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-05-30 20:17:02""";Ielas un ceļi;Ceļa segums;Bedres;Būtiski ceļa seguma bojājumi vairākās vietās, pa vidu ielas braucamai daļai, kas apgrūtina braukšanu.;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-06-01 06:15:58""";Sabiedriskā kārtība;Atkritumi;Izveidota nelegāla izgāztuve;Vai vecpilsētas kafejnīcam nav jābūt saviem konteineriem;Cēsu novada Pašvaldības policija;04h 10m 12s;Izpildītie
"﻿""2018-06-01 08:44:05""";Ielas un ceļi;Ceļa segums;Nav greiderēts;"Labdien!Jau kādu laiku cełš no Priekułu šosejas caur Veismańiem ir &quot;redele&quot;, nav iespējams pārvietoties ne ar bērnu ratiem, ne velosipēdu";Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-06-01 12:32:09""";Ielas un ceļi;Ceļa segums;Bedres;bedrīšu remonts Kr. Voldemāra ielā;Cēsu novada Komunālā nodaļa;00h 21m 06s;Izpildītie
"﻿""2018-06-01 12:38:31""";Ielas un ceļi;Ceļa segums;Bedres;trešo gadu neaizlāpa bedres;Cēsu novada Komunālā nodaļa;00h 14m 17s;Izpildītie
"﻿""2018-06-02 12:23:46""";Ielas un ceļi;Ceļa segums;Bedres;Krīt ceļa segums;Cēsu novada Komunālā nodaļa;97h 52m 06s;Izpildītie
"﻿""2018-06-02 21:09:09""";Sabiedriskā kārtība;Dzīvnieki;;Bīstams suns. Klaiņojošs. ;Cēsu novada Pašvaldības policija;89h 55m 00s;Noraidītie
"﻿""2018-06-03 12:17:42""";Vide;Nesakopta teritorija;Nesakopts īpašums;Neapdzīvotā ēkā novēroti cilvēki, kuri tur iemitinājušies!;Cēsu novada Pašvaldības policija;52h 36m 26s;Izpildītie
"﻿""2018-06-03 14:33:33""";Ielas un ceļi;Ceļa segums;Bedres;Ceļš slēgts, jo ir atklāta bīstama asfaltā bedre, kura var iebrukt vēl vairāk.;Cēsu novada Komunālā nodaļa;71h 39m 57s;Izpildītie
"﻿""2018-06-03 15:35:33""";Ielas un ceļi;Ceļa segums;Bedres;Kad, tiks salabota vaives iela.?;Cēsu novada Komunālā nodaļa;97h 37m 27s;Izpildītie
"﻿""2018-06-03 21:03:19""";Ielas un ceļi;Ceļa segums;Nav greiderēts;Loti puteklains cels, ludzam veikt pretputekļu apstrādi.;Cēsu novada Komunālā nodaļa;36h 17m 56s;Izpildītie
"﻿""2018-06-04 12:55:02""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Zīme nokritusi. ;Cēsu novada Komunālā nodaļa;01h 49m 06s;Izpildītie
"﻿""2018-06-04 20:25:16""";Apgaismojums;Ielu apgaismojums;Bojāts apgaismes ķermenis;Sogulim aizauguši priekšā koka zari;Cēsu novada Komunālā nodaļa;41h 28m 13s;Izpildītie
"﻿""2018-06-05 11:04:44""";Vide;Infrastruktūras bojājumi;;Vasaras sezonā cenšos braukt ar sabiedrisko no Cīrulīšiem uz centru, bet atkal šajā konkrētajā auto nepienem bankas kartes, visos citos pien;Cēsu novada Pašvaldības policija;04h 06m 53s;Noraidītie
"﻿""2018-06-05 19:24:11""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Nolūzis koks;Cēsu novada Komunālā nodaļa;18h 37m 29s;Izpildītie
"﻿""2018-06-05 19:25:21""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Nolūzis koks;Cēsu novada Komunālā nodaļa;18h 35m 23s;Izpildītie
"﻿""2018-06-07 12:49:40""";Sabiedriskā kārtība;Cilvēki;Trokšņo;L.Paegles x-xx regulāri smēķē uz balkona, mūsu bērnu istaba piedūmota un traucē smakas no šī dzīvokļa. Izsmēķi sabirst uz mūsu balkona.;Cēsu novada Pašvaldības policija;26h 29m 55s;Izpildītie
"﻿""2018-06-07 15:10:16""";Auto novietošana;Neatļauta novietošana;;Ilgstoši neatļauti novietots autobuss, aizšķērsota redzamība gājēju pārejai.;Cēsu novada Pašvaldības policija;00h 21m 36s;Izpildītie
"﻿""2018-06-08 16:22:03""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrīts gājēju celiņš;Nesakopts pie kapiem un pirtsupītes ;Cēsu novada Komunālā nodaļa;70h 55m 37s;Izpildītie
"﻿""2018-06-09 12:32:29""";Ielas un ceļi;Ceļa segums;Bedres;Labdien! Ejot pa A. Kronvalda ielu no Arzas puses nevienā no ceļa pusēm nav normālā stāvoklī trotuārs! Ar bērnu ratiem ir jāiet pa ceļa malu;Cēsu novada Komunālā nodaļa;47h 14m 42s;Izpildītie
"﻿""2018-06-09 20:13:08""";Ielas un ceļi;Ceļa segums;Bedres;"Attēlā redzamais norāda uz to, ka notekas &quot;vāks&quot; var iebrukt, jo blakus tai ir izveidojies caurums.";Cēsu novada Komunālā nodaļa;41h 47m 11s;Izpildītie
"﻿""2018-06-11 09:50:40""";Auto novietošana;Pamests transports;;Automašìna uz ielas atrodas no marta mèneša, netiek izmantota.;Cēsu novada Pašvaldības policija;432h 57m 42s;Izpildītie
"﻿""2018-06-13 12:59:49""";Ielas un ceļi;Ceļa segums;Bedres;Kāds izrāvis notekas resti pie Kārumlādes. ;Cēsu novada Komunālā nodaļa;00h 40m 09s;Izpildītie
"﻿""2018-06-13 13:17:26""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Vei Cesis ir jauni celu satiksmes noteikumi un automasinu atlauts novietot krustojuma?;Cēsu novada Komunālā nodaļa;01h 41m 57s;Izpildītie
"﻿""2018-06-13 21:52:48""";Vide;Nesakopta teritorija;Nenopļauta zāle;Dzelzceļa malā aizaudzis ar latvāņiem, kuri jau sākuši ziedēt! Vāveres ielā, pie dzelzceļa garāžām!!!;Cēsu novada Pašvaldības policija;307h 05m 03s;Izpildītie
"﻿""2018-06-13 21:53:59""";Ielas un ceļi;Ceļa segums;Uz braucamās daļas svešķermeņi;"Vēlos teikt &quot;paldies&quot; par &quot;sadarbību&quot; Pagājušajā gadā ziņoju par ar akmeņiem klātu asfaltu. Nekas netika darīts, jo esot dzīvojamā zona.";Cēsu novada Komunālā nodaļa;15h 28m 30s;Izpildītie
"﻿""2018-06-13 21:59:45""";Ielas un ceļi;Ceļa segums;Uz braucamās daļas svešķermeņi;"&quot;Paldies&quot; par &quot;sadarbību&quot;. Pagājušajā gadā ziņoju par ļoti netīru ceļu, nekas netika darīts, jo esot dzīv. zona un 20km/h. Taču ir bīstami.";Cēsu novada Komunālā nodaļa;15h 21m 47s;Izpildītie
"﻿""2018-06-14 11:09:04""";Ielas un ceļi;Ceļa aprīkojums;Bojāta atdalošā barjera;pārlūzusi vidējā, aprūsējusī skrūve, šūpojoties, šūpoles turošais stienis kustas. bīstami šūpoties! ;Cēsu novada Komunālā nodaļa;03h 43m 40s;Izpildītie
"﻿""2018-06-14 15:26:39""";Ielas un ceļi;Ceļa segums;Bedres;Bedre;Cēsu novada Komunālā nodaļa;18h 18m 32s;Izpildītie
"﻿""2018-06-14 16:45:09""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Aizsegta ceļazīme ;Cēsu novada Komunālā nodaļa;17h 05m 28s;Izpildītie
"﻿""2018-06-14 22:49:33""";Ielas un ceļi;Ceļa segums;Uz braucamās daļas svešķermeņi;Attiecinot uz ziņojumu #1369. Tāda problēma ir pilnīgi visu laiku, un visur uz meža ielas, kā arī Leona paegles ielas tā gala ir šī problēma;Cēsu novada Komunālā nodaļa;11h 02m 16s;Izpildītie
"﻿""2018-06-14 22:52:21""";Ielas un ceļi;Ceļa segums;Uz braucamās daļas svešķermeņi;Attiecinot uz #1369, šī problēma ir visu laiku uz meža ielas un LP ielas tā gala arī. Šeit nu nav vainīgi remontdarbi, tur vēl nav rakts. ;Cēsu novada Komunālā nodaļa;10h 56m 09s;Izpildītie
"﻿""2018-06-15 10:10:30""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Atkritumu konteineri;Labdien.Atkal kārtējā avārija Piebalgas un Kronvalda ielas krustojumā.Ir cietuši cilvēki.Varbūt šinī melnajā punktā uzliekat guļ. policistus;Cēsu novada Komunālā nodaļa;78h 24m 24s;Izpildītie
